ticker,board
EDGE,PENGEMBANGAN
UNIQ,UTAMA
BEBS,PEMANTAUAN KHUSUS
SNLK,PENGEMBANGAN
ZYRX,PENGEMBANGAN
LFLO,AKSELERASI
FIMP,PEMANTAUAN KHUSUS
TAPG,UTAMA
NPGF,PENGEMBANGAN
LUCY,PEMANTAUAN KHUSUS
ADCP,PENGEMBANGAN
HOPE,PENGEMBANGAN
MGLV,AKSELERASI
TRUE,PENGEMBANGAN
LABA,PENGEMBANGAN
ARCI,PENGEMBANGAN
IPAC,AKSELERASI
MASB,PENGEMBANGAN
BMHS,UTAMA
FLMC,AKSELERASI
NICL,PENGEMBANGAN
UVCR,PENGEMBANGAN
BUKA,EKONOMI BARU
HAIS,PENGEMBANGAN
OILS,PENGEMBANGAN
GPSO,PENGEMBANGAN
MCOL,UTAMA
RSGK,PEMANTAUAN KHUSUS
RUNS,AKSELERASI
SBMA,PENGEMBANGAN
CMNT,PENGEMBANGAN
GTSI,UTAMA
IDEA,AKSELERASI
KUAS,PENGEMBANGAN
BOBA,PENGEMBANGAN
MTEL,UTAMA
DEPO,PENGEMBANGAN
BINO,PENGEMBANGAN
CMRY,UTAMA
WGSH,AKSELERASI
TAYS,PENGEMBANGAN
WMPP,PEMANTAUAN KHUSUS
RMKE,UTAMA
OBMD,PENGEMBANGAN
AVIA,UTAMA
IPPE,PEMANTAUAN KHUSUS
NASI,PENGEMBANGAN
BSML,PENGEMBANGAN
DRMA,UTAMA
ADMR,UTAMA
SEMA,PENGEMBANGAN
ASLC,PENGEMBANGAN
NETV,PENGEMBANGAN
BAUT,PEMANTAUAN KHUSUS
ENAK,PENGEMBANGAN
NTBK,PENGEMBANGAN
SMKM,AKSELERASI
STAA,UTAMA
NANO,AKSELERASI
BIKE,PENGEMBANGAN
WIRG,PENGEMBANGAN
SICO,PENGEMBANGAN
GOTO,EKONOMI BARU
TLDN,PENGEMBANGAN
MTMH,UTAMA
WINR,PEMANTAUAN KHUSUS
IBOS,AKSELERASI
OLIV,AKSELERASI
ASHA,PENGEMBANGAN
SWID,PENGEMBANGAN
TRGU,UTAMA
ARKO,PEMANTAUAN KHUSUS
CHEM,PENGEMBANGAN
DEWI,PENGEMBANGAN
AXIO,PENGEMBANGAN
KRYA,PENGEMBANGAN
HATM,UTAMA
RCCC,AKSELERASI
GULA,PENGEMBANGAN
JARR,UTAMA
AMMS,AKSELERASI
RAFI,PEMANTAUAN KHUSUS
KKES,PEMANTAUAN KHUSUS
ELPI,UTAMA
EURO,AKSELERASI
KLIN,AKSELERASI
TOOL,PENGEMBANGAN
BUAH,PENGEMBANGAN
CRAB,PENGEMBANGAN
MEDS,PENGEMBANGAN
COAL,PENGEMBANGAN
PRAY,PENGEMBANGAN
CBUT,PENGEMBANGAN
BELI,EKONOMI BARU
MKTR,UTAMA
OMED,UTAMA
BSBK,PENGEMBANGAN
PDPP,PENGEMBANGAN
KDTN,PENGEMBANGAN
ZATA,PENGEMBANGAN
NINE,AKSELERASI
MMIX,PENGEMBANGAN
PADA,PEMANTAUAN KHUSUS
ISAP,AKSELERASI
VTNY,PENGEMBANGAN
SOUL,AKSELERASI
ELIT,PENGEMBANGAN
BEER,PENGEMBANGAN
CBPE,PENGEMBANGAN
SUNI,UTAMA
CBRE,PENGEMBANGAN
WINE,PENGEMBANGAN
BMBL,AKSELERASI
PEVE,PENGEMBANGAN
LAJU,PENGEMBANGAN
FWCT,PENGEMBANGAN
NAYZ,AKSELERASI
IRSX,PENGEMBANGAN
PACK,AKSELERASI
VAST,PENGEMBANGAN
CHIP,AKSELERASI
HALO,PENGEMBANGAN
KING,AKSELERASI
PGEO,UTAMA
FUTR,PENGEMBANGAN
HILL,UTAMA
BDKR,UTAMA
PTMP,PENGEMBANGAN
SAGE,PEMANTAUAN KHUSUS
TRON,PENGEMBANGAN
CUAN,UTAMA
NSSS,PENGEMBANGAN
GTRA,PENGEMBANGAN
HAJJ,AKSELERASI
JATI,PENGEMBANGAN
TYRE,PENGEMBANGAN
MPXL,PENGEMBANGAN
SMIL,UTAMA
KLAS,PENGEMBANGAN
MAXI,PENGEMBANGAN
VKTR,PENGEMBANGAN
RELF,AKSELERASI
AMMN,UTAMA
CRSN,PENGEMBANGAN
GRPM,AKSELERASI
WIDI,AKSELERASI
TGUK,PEMANTAUAN KHUSUS
INET,PEMANTAUAN KHUSUS
MAHA,UTAMA
RMKO,PENGEMBANGAN
CNMA,PENGEMBANGAN
FOLK,PENGEMBANGAN
HBAT,AKSELERASI
GRIA,PENGEMBANGAN
PPRI,PENGEMBANGAN
ERAL,UTAMA
CYBR,PENGEMBANGAN
MUTU,PENGEMBANGAN
LMAX,AKSELERASI
HUMI,PENGEMBANGAN
MSIE,AKSELERASI
RSCH,PENGEMBANGAN
BABY,PENGEMBANGAN
AEGS,AKSELERASI
IOTF,PENGEMBANGAN
KOCI,PENGEMBANGAN
PTPS,PENGEMBANGAN
BREN,UTAMA
STRK,PENGEMBANGAN
KOKA,PENGEMBANGAN
LOPI,AKSELERASI
UDNG,AKSELERASI
RGAS,PENGEMBANGAN
MSTI,UTAMA
IKPM,PENGEMBANGAN
AYAM,PEMANTAUAN KHUSUS
SURI,PENGEMBANGAN
ASLI,PEMANTAUAN KHUSUS
GRPH,PENGEMBANGAN
SMGA,PENGEMBANGAN
UNTD,PENGEMBANGAN
TOSK,PENGEMBANGAN
MPIX,PENGEMBANGAN
ALII,UTAMA
MKAP,PENGEMBANGAN
MEJA,AKSELERASI
LIVE,PENGEMBANGAN
HYGN,PENGEMBANGAN
BAIK,PENGEMBANGAN
VISI,PENGEMBANGAN
AREA,PENGEMBANGAN
MHKI,PENGEMBANGAN
ATLA,PENGEMBANGAN
DATA,PENGEMBANGAN
SOLA,PENGEMBANGAN
BATR,PENGEMBANGAN
SPRE,AKSELERASI
PART,PENGEMBANGAN
GOLF,UTAMA
ISEA,PENGEMBANGAN
BLES,PENGEMBANGAN
GUNA,PENGEMBANGAN
LABS,PENGEMBANGAN
DOSS,PENGEMBANGAN
NEST,PENGEMBANGAN
PTMR,PEMANTAUAN KHUSUS
VERN,PENGEMBANGAN
DAAZ,UTAMA
BOAT,PENGEMBANGAN
NAIK,PENGEMBANGAN
AADI,UTAMA
MDIY,UTAMA
KSIX,PENGEMBANGAN
RATU,PENGEMBANGAN
YOII,PENGEMBANGAN
HGII,PENGEMBANGAN
BRRC,PENGEMBANGAN
DGWG,UTAMA
CBDK,UTAMA
OBAT,PENGEMBANGAN
MINE,UTAMA
ASPR,PENGEMBANGAN
PSAT,UTAMA
COIN,PENGEMBANGAN
CDIA,PENGEMBANGAN
BLOG,UTAMA
